Train:59448.5998965993 | Val:46192.8588541667
Train:34731.2858455882 | Val:25619.9983072917
Train:14626.299302045 | Val:6141.9544270833
Train:4471.4002739401 | Val:1675.955485026
Train:1364.1800496718 | Val:554.3899332682
Train:679.5339216344 | Val:453.838885498
Train:445.6008245244 | Val:267.7257573446
Train:320.8651622323 | Val:206.5975504557
Train:240.7398475198 | Val:288.4209676107
Train:181.4953246958 | Val:75.7005037944
Train:147.701539264 | Val:64.005850474
Train:144.0063116691 | Val:140.7594835917
Train:137.2863077556 | Val:78.9636222839
Train:99.1267197833 | Val:66.1304590861
Train:111.9024540116 | Val:72.222718811
Train:109.6433137445 | Val:66.4561660767
Train:84.6285265894 | Val:30.2087538401
Train:88.5365717551 | Val:40.2964872996
Train:87.7637826976 | Val:27.9743309021
Train:79.1788378884 | Val:46.6340658824
Train:75.6973160786 | Val:47.7034128825
Train:70.7378340399 | Val:48.5789248149
Train:57.1290524847 | Val:27.7114128113
Train:76.7885627256 | Val:49.4688433329
Train:74.4185990726 | Val:72.87429835
Train:55.2412639085 | Val:40.4208672841
Train:61.8304684162 | Val:35.7403170268
Train:47.1310932636 | Val:30.7230092367
Train:53.886533653 | Val:27.4419933319
Train:59.6199701674 | Val:38.5964500427
Train:50.0659554075 | Val:29.7575342814
Train:41.8873911535 | Val:39.5864602407
Train:47.897265273 | Val:21.8691887538
Train:47.7613632118 | Val:23.5817599614
Train:41.027739602 | Val:82.7488438924
Train:42.548211245 | Val:29.6820726395
Train:38.9377236647 | Val:19.7929204305
Train:39.0330198021 | Val:41.1499794006
Train:30.1111568142 | Val:21.9018692017
Train:37.2626670669 | Val:30.5312931061
Train:30.5273541703 | Val:57.3214734395
Train:27.3359351298 | Val:20.4686621348
Train:26.2014718897 | Val:22.0372353236
Train:27.1720636522 | Val:34.2629602432
Train:36.1196491438 | Val:38.5202775319
Train:33.2827361261 | Val:46.7004837036
Train:22.0907175856 | Val:23.4579642614
Train:28.6443744898 | Val:22.3257319132
Train:17.8504301204 | Val:19.8445606232
Train:25.519342724 | Val:28.4090641022
Train:17.9829293244 | Val:20.7621112823
Train:21.317179175 | Val:49.3822596232
Train:23.4890778065 | Val:24.9348644892
Train:18.811796567 | Val:21.2031445821
Train:12.904753117 | Val:25.2107984543
Train:10.8322033672 | Val:21.0268079758
Train:9.6899300989 | Val:16.5393412908
Train:8.8260810691 | Val:17.0226195653
Train:12.0441889798 | Val:23.1692657471
Train:13.3934031479 | Val:27.1455521266
Train:10.8935455294 | Val:14.7761461258
Train:13.8600027929 | Val:19.1654773712
Train:11.5029066661 | Val:19.4844896317
Train:15.6945097482 | Val:21.8015151978
Train:12.3434308837 | Val:15.8613457362
Train:14.760015677 | Val:25.3337286631
Train:8.6624228043 | Val:23.0942389806
Train:11.7383957575 | Val:23.2442707698
Train:7.0096116399 | Val:18.8440971375
Train:8.239018854 | Val:22.5536646525
Train:8.7077547066 | Val:18.7394318263
Train:8.6036325763 | Val:16.7545139949
Train:6.5691680417 | Val:22.7170809428
Train:7.5417524033 | Val:20.1379056295
Train:5.8253997547 | Val:18.5228230158
Train:6.712803618 | Val:24.5339138667
Train:9.443911328 | Val:17.0793268204
Train:9.616020718 | Val:14.6774349848
Train:5.0891947922 | Val:18.6509068171
Train:7.267332191 | Val:28.9143740336
Train:6.4596115912 | Val:20.6161556244
Train:9.5410114597 | Val:17.7096009572
Train:8.0996914208 | Val:14.3915322622
Train:8.8654757002 | Val:21.4515936534
